outlet	date	title	PUBL	COUNTRY	PUBDATE	PUBWEEK	count_ebolasurvivor	count_ebolavictim	count_liberia	count_guinea	count_sierraleone	count_westafrica	count_teresaromero	count_teresaromero ramos	count_spanish	count_spain	count_spanishnurse	count_excalibur	count_carlosiii hospital	count_thomaseric duncan	count_texaspresbyterian hospital	count_dallas	count_texas	count_ambervinson	count_emoryhospital	count_emoryuniversity hospital	count_dallasnurse	count_ninapham	count_nihclinical center	count_bethesda,maryland	count_kentbrantly	count_craigspencer	count_bellevuehospital	count_newyork doctor	count_willpooley	count_williampooley	count_pooley	count_britishnurse	count_britishebola victim	count_royalfree hospital	count_nancywritebol	count_ricksacra	count_ashokamukpo	count_cameraman	count_british-americannbc cameraman	count_martinsalia”	count_“universityof nebraska medical center	count_nebraskamedical center	count_leipzig	count_unworker	count_germanaid worker	count_stgeorg clinic	count_iancrozier	count_miguelpajares	count_brotherpajares	count_brothershospitallers of st. john of god	count_manuelgarcía viejo	count_manuelviejo	count_garciaviejo	count_garcíaviejo	count_sanjuan de dios	count_frenchnurse	count_frenchmedical worker	count_frenchaid worker	count_frenchun worker	count_frenchun employee	count_frenchunited nations worker	count_frenchunited nations employee	count_beginmilitary hospital	count_hospitalbegin	count_whoemployee	count_whoworker	count_worldhealth organisation worker	count_worldhealth organisation employee	count_worldhealth organization worker	count_worldhealth organization employee	count_hamburg	count_timowolf	count_frankfurt	count_norwegianwoman	count_norwegianvictim	count_msfworker	count_msfemployee
The Daily Telegraph (London) 	November 1, 2014 Saturday  Edition 1; National Edition 	THE WEEK IN WESTMINSTER 	[UK] The Telegraph	UK	2014-11-01	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Daily Telegraph (London) 	November 1, 2014 Saturday  Edition 1; National Edition 	Sorrell warns on Ebola, Isil and eurozone but is 'very bullish' on Britain 	[UK] The Telegraph	UK	2014-11-01	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Daily Telegraph (London) 	November 1, 2014 Saturday  Edition 1; National Edition 	Don't shun me at the school gates just because I've been to Ebola-land; New Jersey is treating returning aid workers like lepers - but I am safe to walk the streets 	[UK] The Telegraph	UK	2014-11-01	43	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Daily Telegraph (London) 	November 1, 2014 Saturday  Edition 2; National Edition 	Don't shun me at the school gates just because I've been to Ebola-land; New Jersey is treating returning aid workers like lepers - but I am safe to walk the streets 	[UK] The Telegraph	UK	2014-11-01	43	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Daily Telegraph (London) 	November 1, 2014 Saturday  Edition 2; National Edition 	American Ebola nurse wins court battle to avoid quarantine order 	[UK] The Telegraph	UK	2014-11-01	43	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Daily Telegraph (London) 	October 31, 2014 Friday  Edition 1; National Edition 	American Ebola nurse defies quarantine order 	[UK] The Telegraph	UK	2014-10-31	43	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 31, 2014 Friday 8:24 PM GMT  	Victory for Maine nurse as judge makes U-turn on Ebola monitoring order; Judge says 'Maine has not met its burden' and lifts earlier order that ruled she must stay away from public gatherings and maintain a 3ft distance from othersMaine nurse must stay 3ft from others, court rulesKaci Hickox defies Maine by taking bike ride 	[UK] The Guardian	UK	2014-10-31	43	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 31, 2014 Friday 7:26 PM GMT  	World in a week: Burkina Faso president resigns after 27-year rule; 27-31 October: Catch up with all the development-related news you may have missed this week 	[UK] The Guardian	UK	2014-10-31	43	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 31, 2014 Friday 6:07 PM GMT  	What lessons can be drawn from the Ebola outbreak?; Experts are urging the world to heed the wider implications of the Ebola outbreak. Could it change our approach to global health?· What does the Ebola crisis reveal about the state of global health? - podcast 	[UK] The Guardian	UK	2014-10-31	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 31, 2014 Friday 6:01 PM GMT  	Ebola crisis - the Guardian briefing; The Ebola outbreak has killed about 5,000 people in west Africa, and affected the US and Spain, where people returning from the region have died and transmitted the infection to several nurses. We examine the background to the disease, its spread and its impactHow to avoid being infected with Ebola 	[UK] The Guardian	UK	2014-10-31	43	0	0	7	4	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 31, 2014 Friday 5:55 PM GMT  	Students 'offered money for photos of 'Jihadi John' Halloween costumes'; Students say woman claiming to be from the Sun offered them thousands of pounds for pictures of students in shock outfits 	[UK] The Guardian	UK	2014-10-31	43	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
