articleNr	reviewer_01	outlet	date	title	PUBL	COUNTRY	PUBDATE	PUBWEEK	count_ebolasurvivor	count_ebolavictim	count_liberia	count_guinea	count_sierraleone	count_westafrica	count_teresaromero	count_teresaromero ramos	count_spanish	count_spain	count_spanishnurse	count_excalibur	count_carlosiii hospital	count_thomaseric duncan	count_texaspresbyterian hospital	count_dallas	count_texas	count_ambervinson	count_emoryhospital	count_emoryuniversity hospital	count_dallasnurse	count_ninapham	count_nihclinical center	count_bethesda,maryland	count_kentbrantly	count_craigspencer	count_bellevuehospital	count_newyork doctor	count_willpooley	count_williampooley	count_pooley	count_britishnurse	count_britishebola victim	count_royalfree hospital	count_nancywritebol	count_ricksacra	count_ashokamukpo	count_cameraman	count_british-americannbc cameraman	count_martinsalia”	count_“universityof nebraska medical center	count_nebraskamedical center	count_leipzig	count_unworker	count_germanaid worker	count_stgeorg clinic	count_iancrozier	count_miguelpajares	count_brotherpajares	count_brothershospitallers of st. john of god	count_manuelgarcía viejo	count_manuelviejo	count_garciaviejo	count_garcíaviejo	count_sanjuan de dios	count_frenchnurse	count_frenchmedical worker	count_frenchaid worker	count_frenchun worker	count_frenchun employee	count_frenchunited nations worker	count_frenchunited nations employee	count_beginmilitary hospital	count_hospitalbegin	count_whoemployee	count_whoworker	count_worldhealth organisation worker	count_worldhealth organisation employee	count_worldhealth organization worker	count_worldhealth organization employee	count_hamburg	count_timowolf	count_frankfurt	count_norwegianwoman	count_norwegianvictim	count_msfworker	count_msfemployee	all
1	Caitlin	The Guardian 	October 31, 2014 Friday 8:24 PM GMT  	Victory for Maine nurse as judge makes U-turn on Ebola monitoring order; Judge says 'Maine has not met its burden' and lifts earlier order that ruled she must stay away from public gatherings and maintain a 3ft distance from othersMaine nurse must stay 3ft from others, court rulesKaci Hickox defies Maine by taking bike ride 	[UK] The Guardian	UK	2014-10-31	43	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2	Richard	The Guardian 	October 31, 2014 Friday 6:01 PM GMT  	Ebola crisis - the Guardian briefing; The Ebola outbreak has killed about 5,000 people in west Africa, and affected the US and Spain, where people returning from the region have died and transmitted the infection to several nurses. We examine the background to the disease, its spread and its impactHow to avoid being infected with Ebola 	[UK] The Guardian	UK	2014-10-31	43	0	0	7	4	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	Caitlin	The Guardian 	October 30, 2014 Thursday 8:20 PM GMT  	Maine prepared to go to court to enforce nurse's Ebola quarantine order; Officials plead with Kaci Hickox to abide by 21-day order 'I have been this entire time completely symptom-free' 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4	Ines	The Guardian 	October 30, 2014 Thursday 3:33 PM GMT  	World Bank pledges $100m to send health workers to Ebola-hit countries; Treatment centres are being built in Liberia, Sierra Leone and Guinea but still big need for doctors and nurses to staff them 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	Kevin	The Guardian 	October 30, 2014 Thursday 12:37 AM GMT  	Maine prepared to go to court to enforce nurse's Ebola quarantine order; Officials plead with Kaci Hickox to abide by 21-day order 'I have been this entire time completely symptom-free' 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
6	Lindsay	The Daily Telegraph (London) 	October 29, 2014 Wednesday  Edition 1; National Edition 	I am so grateful to be well, says second US nurse to survive Ebola 	[UK] The Telegraph	UK	2014-10-29	43	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
7	Kevin	The Guardian 	October 29, 2014 Wednesday 6:25 PM GMT  	Ebola: Maine deploys state police to quarantined nurse's home; Kaci Hickox, who was held for days in an isolation tent in New Jersey, says she doesn't plan on obeying home quarantine in her home state 	[UK] The Guardian	UK	2014-10-29	43	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8	Jocelyn	The Guardian 	October 29, 2014 Wednesday 3:09 PM GMT  	Ebola: Maine nurse rejects state's request for further home quarantine; Kaci Hickox, who was held for days in an isolation tent in New Jersey, says she doesn't plan on obeying home quarantine in her home state 	[UK] The Guardian	UK	2014-10-29	43	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	Matt	The Daily Telegraph (London) 	October 28, 2014 Tuesday  Edition 2; National Edition 	New Jersey frees nurse in Ebola quarantine after outcry 	[UK] The Telegraph	UK	2014-10-28	43	0	2	1	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
10	Sara	The Guardian 	October 28, 2014 Tuesday 8:42 PM GMT  	Ebola: nurse held in New Jersey returns home with two weeks left of quarantine; Amount of freedom Kaci Hickox will have under quarantine in Maine remains unclear as states grapple with new measures 	[UK] The Guardian	UK	2014-10-28	43	0	0	1	1	2	8	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
11	Matt	The Guardian 	October 28, 2014 Tuesday 8:34 PM GMT  	Morning Mail: Ebola visa clampdown, foreign fighters bill v human rights, state of the nation; Guardian Australia's morning news briefing from around the web 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12	Fathima	The Daily Telegraph (London) 	October 27, 2014 Monday  Edition 1; National Edition 	Nurse who treated Ebola victims fights US quarantine order 	[UK] The Telegraph	UK	2014-10-27	43	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13	Richard	The Guardian 	October 27, 2014 Monday 6:20 PM GMT  	American nurse placed in 'inappropriate' Ebola quarantine released; Kaci Hickox had threatened to sue over detention New Jersey and New York scale back quarantine plansWhite House warns Christie and Cuomo over Ebola 	[UK] The Guardian	UK	2014-10-27	43	0	0	1	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
14	Matt	MAIL ON SUNDAY (London) 	October 26, 2014 Sunday 	10,000 NOW INFECTED AS DISEASE KEEPS SPREADING 	[UK] The Daily Mail	UK	2014-10-26	43	0	0	1	2	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15	Fiona	The Daily Telegraph (London) 	October 25, 2014 Saturday  Edition 1; National Edition 	Doctor is fourth Ebola case in America 	[UK] The Telegraph	UK	2014-10-25	42	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
16	Lindsay	The Guardian 	October 25, 2014 Saturday 8:37 PM GMT  	Nurse isolated over Ebola contacts criticises airport quarantine rules; Kaci Hickox tests negative but stays in New Jersey isolation Writes: 'I was upset about being held with no explanation'Illinois institutes own quarantine rules despite lack of caseACLU raises concerns over 'abuse of police powers'WHO: Ebola cases pass 10,000 markNY and NJ introduce tough new quarantine measures 	[UK] The Guardian	UK	2014-10-25	42	0	1	3	6	4	5	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
17	Lindsay	The Guardian 	October 25, 2014 Saturday 7:12 PM GMT  	Obama stresses 'facts, not fear' over Ebola as rift emerges over quarantine; ACLU concerned by tough rules brought in over NY caseWoman in New Jersey tests negative but remains in isolationIllinois institutes own quarantine rules despite lack of caseWHO: Ebola cases pass 10,000 markNY and NJ introduce tough new quarantine measures 	[UK] The Guardian	UK	2014-10-25	42	0	1	3	6	2	7	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
18	Richard	The Guardian 	October 25, 2014 Saturday 3:19 PM GMT  	Obama stresses 'facts, not fear' in public response to Ebola in the US; 'We have to be guided by the science,' president saysWoman in New Jersey tests negative but remains in isolationWHO: Ebola cases pass 10,000 markNY and NJ introduce tough new quarantine measures 	[UK] The Guardian	UK	2014-10-25	42	0	0	2	4	1	3	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
19	Caitlin	The Guardian 	October 25, 2014 Saturday 1:32 AM GMT  	New York and New Jersey issue tough new Ebola quarantine measure; Aid workers flying in from west Africa to be held for 21 daysGovernors: 'We're not comfortable with voluntary quarantine'Craig Spencer, 33, in hospital after becoming infectedNew York, the city that never shrieks 	[UK] The Guardian	UK	2014-10-25	42	0	0	1	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
20	Caitlin	The Daily Telegraph (London) 	October 24, 2014 Friday  Edition 2; National Edition 	Cameron names nations that give less than Ikea for Ebola aid 	[UK] The Telegraph	UK	2014-10-24	42	0	0	2	2	2	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
21	Ines	The Guardian 	October 24, 2014 Friday 8:30 PM GMT  	Strict Texas law makes Ebola lawsuits unlikely; Tort reform statutes and court rulings protect Texas hospitals from medical malpractice suits 	[UK] The Guardian	UK	2014-10-24	42	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
22	Peter	The Guardian 	October 24, 2014 Friday 8:12 PM GMT  	Doctor at New York hospital tests positive for Ebola virus; Preliminary test confirms virus in Craig Spencer, a physician with Doctors Without Borders who had been working in west AfricaGary Younge: Ebola has exposed America's fearNew York begins cleanup at Ebola patient's home as officials urge calm 	[UK] The Guardian	UK	2014-10-24	42	0	0	1	3	1	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
23	Sara	The Guardian 	October 24, 2014 Friday 7:59 PM GMT  	Ebola has arrived - but it's nothing for New York, the city that never cowers; Would the diagnosis of the first Ebola patient send New Yorkers into a tailspin? Nicky Woolf hit the streets to take the city's temperature - and finds a distinct lack of panicNew York officials begin cleanup at patient's homeColloidal silver and other Ebola scams 	[UK] The Guardian	UK	2014-10-24	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
24	Lindsay	The Guardian 	October 24, 2014 Friday 7:55 AM GMT  	Ebola patient doctor tracked to New York trains, taxis and the High Line; Epidemiologists use Craig Spencer's Metrocard and credit card to trace his movements around the city 	[UK] The Guardian	UK	2014-10-24	42	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
25	Jocelyn	The Guardian 	October 24, 2014 Friday 7:41 AM GMT  	Ebola crisis: Doctor at New York hospital tests positive; Preliminary test confirms virus in Craig Spencer, a physician with Doctors Without Borders who had been working in west AfricaGary Younge: Ebola has exposed America's fear 	[UK] The Guardian	UK	2014-10-24	42	0	0	1	3	1	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
26	Sara	The Guardian 	October 24, 2014 Friday 5:55 AM GMT  	Doctor tests positive for Ebola at New York hospital; Preliminary test confirms virus in Craig Spencer, a physician with Doctors Without Borders who had been working in west AfricaGary Younge: Ebola has exposed America's fear 	[UK] The Guardian	UK	2014-10-24	42	0	0	1	3	1	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
27	Richard	The Guardian 	October 24, 2014 Friday 1:36 AM GMT  	Doctor tests positive for Ebola at New York hospital; Preliminary test confirms virus in Craig Spencer, a physician with Doctors Without Borders who had been working in west Africa 	[UK] The Guardian	UK	2014-10-24	42	0	0	1	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
28	Peter	The Guardian 	October 23, 2014 Thursday 8:57 PM GMT  	Doctor who treated Ebola patients in Guinea rushed to hospital in New York; Physician, believed to be a 33-year-old man who was working in west Africa, treated for fever and 'gastrointestinal symptoms' 	[UK] The Guardian	UK	2014-10-23	42	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
29	Ines	The Guardian 	October 23, 2014 Thursday 5:43 PM GMT  	Cuba calling: what this small island can teach the world about disease control; West Africa needs what Cuba has: a well-trained, coordinated healthcare system. Anything less and Ebola wins 	[UK] The Guardian	UK	2014-10-23	42	0	0	1	1	2	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
