articleNr	reviewer_02	outlet	date	title	PUBL	COUNTRY	PUBDATE	PUBWEEK	count_ebolasurvivor	count_ebolavictim	count_liberia	count_guinea	count_sierraleone	count_westafrica	count_teresaromero	count_teresaromero ramos	count_spanish	count_spain	count_spanishnurse	count_excalibur	count_carlosiii hospital	count_thomaseric duncan	count_texaspresbyterian hospital	count_dallas	count_texas	count_ambervinson	count_emoryhospital	count_emoryuniversity hospital	count_dallasnurse	count_ninapham	count_nihclinical center	count_bethesda,maryland	count_kentbrantly	count_craigspencer	count_bellevuehospital	count_newyork doctor	count_willpooley	count_williampooley	count_pooley	count_britishnurse	count_britishebola victim	count_royalfree hospital	count_nancywritebol	count_ricksacra	count_ashokamukpo	count_cameraman	count_british-americannbc cameraman	count_martinsalia”	count_“universityof nebraska medical center	count_nebraskamedical center	count_leipzig	count_unworker	count_germanaid worker	count_stgeorg clinic	count_iancrozier	count_miguelpajares	count_brotherpajares	count_brothershospitallers of st. john of god	count_manuelgarcía viejo	count_manuelviejo	count_garciaviejo	count_garcíaviejo	count_sanjuan de dios	count_frenchnurse	count_frenchmedical worker	count_frenchaid worker	count_frenchun worker	count_frenchun employee	count_frenchunited nations worker	count_frenchunited nations employee	count_beginmilitary hospital	count_hospitalbegin	count_whoemployee	count_whoworker	count_worldhealth organisation worker	count_worldhealth organisation employee	count_worldhealth organization worker	count_worldhealth organization employee	count_hamburg	count_timowolf	count_frankfurt	count_norwegianwoman	count_norwegianvictim	count_msfworker	count_msfemployee	all
1	Caitlin	The Guardian 	October 31, 2014 Friday 8:24 PM GMT  	Victory for Maine nurse as judge makes U-turn on Ebola monitoring order; Judge says 'Maine has not met its burden' and lifts earlier order that ruled she must stay away from public gatherings and maintain a 3ft distance from othersMaine nurse must stay 3ft from others, court rulesKaci Hickox defies Maine by taking bike ride 	[UK] The Guardian	UK	2014-10-31	43	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
3	Ines	The Guardian 	October 30, 2014 Thursday 8:20 PM GMT  	Maine prepared to go to court to enforce nurse's Ebola quarantine order; Officials plead with Kaci Hickox to abide by 21-day order 'I have been this entire time completely symptom-free' 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	Fiona	The Guardian 	October 30, 2014 Thursday 12:37 AM GMT  	Maine prepared to go to court to enforce nurse's Ebola quarantine order; Officials plead with Kaci Hickox to abide by 21-day order 'I have been this entire time completely symptom-free' 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	Caitlin	The Guardian 	October 29, 2014 Wednesday 6:25 PM GMT  	Ebola: Maine deploys state police to quarantined nurse's home; Kaci Hickox, who was held for days in an isolation tent in New Jersey, says she doesn't plan on obeying home quarantine in her home state 	[UK] The Guardian	UK	2014-10-29	43	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	Sara	The Daily Telegraph (London) 	October 28, 2014 Tuesday  Edition 2; National Edition 	New Jersey frees nurse in Ebola quarantine after outcry 	[UK] The Telegraph	UK	2014-10-28	43	0	2	1	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
11	Richard	The Guardian 	October 28, 2014 Tuesday 8:34 PM GMT  	Morning Mail: Ebola visa clampdown, foreign fighters bill v human rights, state of the nation; Guardian Australia's morning news briefing from around the web 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	Lindsay	The Guardian 	October 27, 2014 Monday 6:20 PM GMT  	American nurse placed in 'inappropriate' Ebola quarantine released; Kaci Hickox had threatened to sue over detention New Jersey and New York scale back quarantine plansWhite House warns Christie and Cuomo over Ebola 	[UK] The Guardian	UK	2014-10-27	43	0	0	1	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
15	Peter	The Daily Telegraph (London) 	October 25, 2014 Saturday  Edition 1; National Edition 	Doctor is fourth Ebola case in America 	[UK] The Telegraph	UK	2014-10-25	42	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
17	Lindsay	The Guardian 	October 25, 2014 Saturday 7:12 PM GMT  	Obama stresses 'facts, not fear' over Ebola as rift emerges over quarantine; ACLU concerned by tough rules brought in over NY caseWoman in New Jersey tests negative but remains in isolationIllinois institutes own quarantine rules despite lack of caseWHO: Ebola cases pass 10,000 markNY and NJ introduce tough new quarantine measures 	[UK] The Guardian	UK	2014-10-25	42	0	1	3	6	2	7	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
19	Richard	The Guardian 	October 25, 2014 Saturday 1:32 AM GMT  	New York and New Jersey issue tough new Ebola quarantine measure; Aid workers flying in from west Africa to be held for 21 daysGovernors: 'We're not comfortable with voluntary quarantine'Craig Spencer, 33, in hospital after becoming infectedNew York, the city that never shrieks 	[UK] The Guardian	UK	2014-10-25	42	0	0	1	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
