date	PUBWEEK	title
October 31, 2014 Friday 8:24 PM GMT  	43	Victory for Maine nurse as judge makes U-turn on Ebola monitoring order; Judge says 'Maine has not met its burden' and lifts earlier order that ruled she must stay away from public gatherings and maintain a 3ft distance from othersMaine nurse must stay 3ft from others, court rulesKaci Hickox defies Maine by taking bike ride 
October 31, 2014 Friday 6:01 PM GMT  	43	Ebola crisis - the Guardian briefing; The Ebola outbreak has killed about 5,000 people in west Africa, and affected the US and Spain, where people returning from the region have died and transmitted the infection to several nurses. We examine the background to the disease, its spread and its impactHow to avoid being infected with Ebola 
October 30, 2014 Thursday 8:20 PM GMT  	43	Maine prepared to go to court to enforce nurse's Ebola quarantine order; Officials plead with Kaci Hickox to abide by 21-day order 'I have been this entire time completely symptom-free' 
October 30, 2014 Thursday 3:33 PM GMT  	43	World Bank pledges $100m to send health workers to Ebola-hit countries; Treatment centres are being built in Liberia, Sierra Leone and Guinea but still big need for doctors and nurses to staff them 
October 30, 2014 Thursday 12:37 AM GMT  	43	Maine prepared to go to court to enforce nurse's Ebola quarantine order; Officials plead with Kaci Hickox to abide by 21-day order 'I have been this entire time completely symptom-free' 
October 29, 2014 Wednesday  Edition 1; National Edition 	43	I am so grateful to be well, says second US nurse to survive Ebola 
October 29, 2014 Wednesday 6:25 PM GMT  	43	Ebola: Maine deploys state police to quarantined nurse's home; Kaci Hickox, who was held for days in an isolation tent in New Jersey, says she doesn't plan on obeying home quarantine in her home state 
October 29, 2014 Wednesday 3:09 PM GMT  	43	Ebola: Maine nurse rejects state's request for further home quarantine; Kaci Hickox, who was held for days in an isolation tent in New Jersey, says she doesn't plan on obeying home quarantine in her home state 
October 28, 2014 Tuesday  Edition 2; National Edition 	43	New Jersey frees nurse in Ebola quarantine after outcry 
October 28, 2014 Tuesday 8:42 PM GMT  	43	Ebola: nurse held in New Jersey returns home with two weeks left of quarantine; Amount of freedom Kaci Hickox will have under quarantine in Maine remains unclear as states grapple with new measures 
October 28, 2014 Tuesday 8:34 PM GMT  	43	Morning Mail: Ebola visa clampdown, foreign fighters bill v human rights, state of the nation; Guardian Australia's morning news briefing from around the web 
October 27, 2014 Monday  Edition 1; National Edition 	43	Nurse who treated Ebola victims fights US quarantine order 
October 27, 2014 Monday 6:20 PM GMT  	43	American nurse placed in 'inappropriate' Ebola quarantine released; Kaci Hickox had threatened to sue over detention New Jersey and New York scale back quarantine plansWhite House warns Christie and Cuomo over Ebola 
October 26, 2014 Sunday 	43	10,000 NOW INFECTED AS DISEASE KEEPS SPREADING 
October 25, 2014 Saturday  Edition 1; National Edition 	42	Doctor is fourth Ebola case in America 
October 25, 2014 Saturday 8:37 PM GMT  	42	Nurse isolated over Ebola contacts criticises airport quarantine rules; Kaci Hickox tests negative but stays in New Jersey isolation Writes: 'I was upset about being held with no explanation'Illinois institutes own quarantine rules despite lack of caseACLU raises concerns over 'abuse of police powers'WHO: Ebola cases pass 10,000 markNY and NJ introduce tough new quarantine measures 
October 25, 2014 Saturday 7:12 PM GMT  	42	Obama stresses 'facts, not fear' over Ebola as rift emerges over quarantine; ACLU concerned by tough rules brought in over NY caseWoman in New Jersey tests negative but remains in isolationIllinois institutes own quarantine rules despite lack of caseWHO: Ebola cases pass 10,000 markNY and NJ introduce tough new quarantine measures 
